user_id,training_id,marks,internet_allowed,promoted
3d23f889-5b1f-4b92-b1ba-ecbcc572004b,7d777a89-febb-4780-897c-c28a874b8ec8,31,False,False
fbf750c0-1fff-4f97-8727-dd3167b750bd,72813294-c415-47e6-9cf8-0d4596c795ef,87,False,True
c0a8c178-b25f-4ddd-a383-9521291b071c,c5fe4cec-ede4-4a17-936b-aa181ad06d1a,4,False,True
6877d6ff-fd1d-466e-a79b-647139c466f7,f15b406d-940e-4f2b-a498-453e5280848a,49,False,False
0ac53640-a4eb-4afc-8421-f3c05351c53b,af036d48-07b8-476f-a3b5-6a9d49c81971,43,True,True
42756c1c-367a-4743-af50-d3790745ce3a,3bc02b3a-409d-46ad-8898-1bd65b654901,67,False,False
d04ea833-2af8-4e32-a260-7917997d3704,1846dd48-c503-4f75-b1c9-813bea7e9443,75,True,True
fe262a33-22c8-4681-bf35-72ca8bc7e090,e03593a2-322e-467c-957a-80d463c6ed10,85,False,False
318431c9-a3f8-4785-8bee-dd95596d2bdd,f97808b7-fb46-49dd-98e8-07ed4a63b813,29,False,True
fbc11202-258e-4c77-9e4b-574d5a42994c,2ebdd12f-addb-454e-adca-c71f57bef51b,4,True,False
999b4b25-6c99-43d3-b0d8-b5113c0cc8b1,bf571aed-14b7-4e17-af78-f87552a8a795,33,True,True
76074207-60cf-4adc-a61b-3f1e354d2341,1d0dff12-3e3c-4143-9b33-ad4facaf23ff,5,True,True
1682ec12-089b-41e8-8fde-324f133042d1,e94129c4-d52e-4f1f-aa90-da3bd95a9b0e,49,False,True
ab389a13-589c-4dd9-b4f6-34fb4f694d3e,6790a747-03fa-459e-b349-f4686017b70f,38,False,False
ba511aac-aa76-42ce-8f8d-aa90fe4ffabd,4749cf4d-df98-47e4-81cc-cc8a3d47a575,86,True,True
1b331a55-a813-4464-ba8b-2320723d32fb,79fb5048-f9f6-4838-bb83-3930462eaeb7,65,True,True
aeb9025e-e2db-40b9-84a3-c2da73383045,e30ca9a7-6a98-459e-9281-726d014a1cf9,31,False,True
839f10ff-a656-4eed-adfd-2581c8bc9b11,cd2fb50d-f6e2-4b7c-9a5d-bb99889a5300,22,True,False
1226ce93-e26c-46ab-982d-8a4b8ee2f715,8fc1f928-8107-46a8-afff-d30379d5a11c,31,True,True
6427cb14-4b10-4877-96ea-80bf8667760b,d2eb6a5e-d9a0-4cba-a081-9ee4b3ed7d1a,58,False,True
3b5a3f5e-cd87-4cc7-92e0-056dda2e141f,e3444709-83d4-4909-a04e-a54700b4be54,47,True,False
48d382d0-16a0-4179-b98b-518f50216815,8120c1c6-6012-48f2-8d61-5480f8870c3a,13,True,False
1b7c3809-c4d0-42ed-a774-251bb0a554f5,d5437cd6-46bb-49b3-b8b6-5414d4f3d1b3,54,True,True
8c6bd635-2435-4d2e-ae2d-7b485718655b,2f87d664-c62d-4b3d-bc1a-73f62d7fd8cc,75,False,True
e859c980-302d-4b4a-a29a-09b3b0db2a09,c43a065b-351e-45fd-b120-e66ea8b3ae38,34,True,True
399639cb-4556-445e-b0ff-58d30caec558,9d1d4e9b-1d19-41f3-b3c4-766ad191fb94,36,True,True
8ce2433c-36f6-4640-93e6-5a3e5e31a615,d1ad8145-15b5-4f65-b34a-90bc1aef48d4,72,False,True
23dc6b89-f17e-4860-ab9d-c654e09a978e,28052983-eafa-4d0d-a6ba-ba994756c28f,52,False,False
7e0f3530-6276-47d0-bb0f-10f85b63da7d,296581e7-485a-4e8e-bb47-f36db5ac4dd6,48,False,False
500aa4e7-cec5-4585-9cd8-c47e4b5be822,e232b17b-1810-4bb1-82de-9bb8576bef36,75,True,True
8a2a9bf4-7583-4920-9c87-408aac7a16fb,73ed4b79-2409-43b0-8897-76f066e4f5d7,26,False,False
d9a6c08a-4e09-4f8c-915b-273c7539ba64,52a0b6a1-1ba5-43ac-8502-11101553646d,9,True,True
1b1b541a-8e8e-4b8d-a16b-9b1e88f53fa7,2f1bf046-104e-434a-8ce6-336f24f0565b,63,True,True
495d0ca2-ddc6-4520-8ef9-e248281da316,5c2a79f7-187a-4690-8b9f-7f32ee23f6bd,42,True,True
6b5d8b31-ea19-4e29-a128-87d88e4b0d4b,43db6f58-6823-48a3-ba76-ec70d67e4047,72,True,True
5cc7a38f-1102-49e9-abcc-329020e48349,1352f9bc-dd97-492f-a8d0-7e14d39f21d6,50,True,False
d703ff90-5492-4973-b6ce-22a631dc958b,1c492df8-50ce-43cb-bcbd-c90b669397e4,77,True,False
6dd46fec-e750-4ce0-b5a4-5c6d75f5b53d,401dfdf5-53a6-40a0-83b1-3fc9ed5e4b39,5,False,True
319e3194-7724-4134-bb4b-b0e74a0c6ec6,5fb2bec9-0c2b-4fa7-b520-de0fdd078050,40,False,True
4c90e271-2bc6-490f-9baf-04cb85cfa83d,3125fa15-d3ac-45d3-8014-1c9eea77696c,73,True,False
97b4ec0a-8ce7-4b2a-bb90-2dce72e3002b,b8fb1351-898e-4698-89cd-432ae3ec97c4,39,True,True
7b05e479-6b78-42a6-8290-b06120419582,2ef28968-3062-4bcf-81af-af2822c67b10,45,False,False
b04c8962-62e1-4a6e-97ba-8f7e54e1cac5,70e55801-deb5-4724-b296-76fab9f3908a,30,True,True
91ae8be4-034d-48bf-ac93-1c9fd84a7816,7ea07944-f372-43ae-9f0b-50197514ce27,79,True,False
b975468d-beb5-4302-950c-715c8ffa98d9,a162c419-db13-4cfe-af6f-6e51366217cd,8,False,True
cba17948-6d1b-4282-8ddd-6cfdbf27351d,7dd099c7-489e-4c66-b209-c27a87cfb8d8,49,True,False
6ff35bda-8b5f-4c87-930e-46c09f074e61,3bc02b3a-409d-46ad-8898-1bd65b654901,66,False,True
0475d9d0-2c7c-4072-a855-fc0cea455865,5946b5d9-e151-4f18-86e9-1f1ff3d97779,18,True,True
d7ce4171-00db-4353-b750-a3cc176f28c7,741c59aa-cd1c-4282-bc3e-10615297f194,90,False,True
93ca1389-cf11-4900-99b4-5675cf5e1604,ed23db25-b454-404f-8065-648246005fff,71,False,True
425062a6-18ff-4c22-8cd4-8c9c336dbe3f,4f9c563b-6af2-46e8-b006-f409831e09d7,77,True,True
5232779f-0eed-479a-9357-662820706ac8,fd511e21-905a-4f1f-8850-fda21bd3886f,39,True,True
37f58304-dc24-40d3-9555-fbb4c2ccd0bc,18037106-c3cb-497e-a234-f7bcfebcfae6,47,True,True
743d8001-f873-4d97-813f-652b73dfd6eb,ff9dc068-3743-4259-b746-4cb39b19763d,69,False,False
cd121f24-aed9-4db3-beb5-3d373a13217f,075edb09-cc48-4191-8ec1-440201f9aaae,10,False,False
